Event Name,Status
frontend_retired.stlb_miss,Successful
icache_data.stalls,Successful
icache_tag.stalls,Successful
idq.dsb_cycles_any,Successful
idq.dsb_cycles_ok,Successful
idq.dsb_uops,Successful
idq.mite_cycles_any,Successful
idq.mite_cycles_ok,Successful
idq.mite_uops,Successful
idq.ms_cycles_any,Successful
idq.ms_switches,Successful
idq.ms_uops,Successful
idq_bubbles.core,Successful
idq_bubbles.cycles_0_uops_deliv.core,Successful
idq_bubbles.cycles_fe_was_ok,Successful
idq_uops_not_delivered.core,Successful
idq_uops_not_delivered.cycles_0_uops_deliv.core,Successful
idq_uops_not_delivered.cycles_fe_was_ok,Successful
cycle_activity.stalls_l3_miss,Successful
mem_trans_retired.store_sample,Successful
memory_activity.cycles_l1d_miss,Successful
memory_activity.stalls_l1d_miss,Successful
memory_activity.stalls_l2_miss,Successful
memory_activity.stalls_l3_miss,Successful
ocr.demand_code_rd.l3_miss,Successful
ocr.demand_data_rd.l3_miss,Successful
ocr.demand_rfo.l3_miss,Successful
ocr.reads_to_core.l3_miss,Successful
ocr.reads_to_core.l3_miss_local,Successful
ocr.reads_to_core.l3_miss_local_socket,Successful
offcore_requests.l3_miss_demand_data_rd,Successful
offcore_requests_outstanding.l3_miss_demand_data_rd,Successful
assists.page_fault,Successful
ocr.demand_code_rd.any_response,Successful
ocr.demand_code_rd.dram,Successful
ocr.demand_code_rd.local_dram,Successful
ocr.demand_data_rd.any_response,Successful
ocr.demand_data_rd.dram,Successful
ocr.demand_data_rd.local_dram,Successful
ocr.demand_rfo.any_response,Successful
ocr.demand_rfo.dram,Successful
ocr.demand_rfo.local_dram,Successful
ocr.hwpf_l1d.any_response,Successful
ocr.hwpf_l2.any_response,Successful
ocr.modified_write.any_response,Successful
ocr.reads_to_core.any_response,Successful
ocr.reads_to_core.dram,Successful
ocr.reads_to_core.local_dram,Successful
ocr.reads_to_core.local_socket_dram,Successful
ocr.write_estimate.memory,Successful
rs.empty,Successful
rs_empty.count,Successful
rs_empty.cycles,Successful
xq.full_cycles,Successful
arith.div_active,Successful
arith.divider_active,Successful
arith.fp_divider_active,Successful
arith.idiv_active,Successful
arith.int_divider_active,Successful
assists.any,Successful
br_inst_retired.all_branches,Successful
br_inst_retired.cond,Successful
br_inst_retired.cond_ntaken,Successful
br_inst_retired.cond_taken,Successful
br_inst_retired.far_branch,Successful
br_inst_retired.indirect,Successful
br_inst_retired.near_call,Successful
br_inst_retired.near_return,Successful
br_inst_retired.near_taken,Successful
br_misp_retired.all_branches,Successful
br_misp_retired.cond,Successful
br_misp_retired.cond_ntaken,Successful
br_misp_retired.cond_taken,Successful
br_misp_retired.indirect,Successful
br_misp_retired.indirect_call,Successful
br_misp_retired.near_taken,Successful
br_misp_retired.ret,Successful
cpu_clk_unhalted.c0_wait,Successful
cpu_clk_unhalted.distributed,Successful
cpu_clk_unhalted.one_thread_active,Successful
cpu_clk_unhalted.pause,Successful
cpu_clk_unhalted.pause_inst,Successful
cpu_clk_unhalted.ref_distributed,Successful
cpu_clk_unhalted.ref_tsc,Successful
cpu_clk_unhalted.ref_tsc_p,Successful
cpu_clk_unhalted.thread,Successful
cpu_clk_unhalted.thread_p,Successful
cycle_activity.cycles_l1d_miss,Successful
cycle_activity.cycles_l2_miss,Successful
cycle_activity.cycles_mem_any,Successful
cycle_activity.stalls_l1d_miss,Successful
cycle_activity.stalls_l2_miss,Successful
cycle_activity.stalls_total,Successful
exe_activity.2_ports_util,Successful
exe_activity.3_ports_util,Successful
exe_activity.4_ports_util,Successful
exe_activity.bound_on_loads,Successful
exe_activity.bound_on_stores,Successful
exe_activity.exe_bound_0_ports,Successful
inst_decoded.decoders,Successful
inst_retired.any,Successful
inst_retired.any_p,Successful
inst_retired.macro_fused,Successful
inst_retired.nop,Successful
inst_retired.prec_dist,Successful
inst_retired.rep_iteration,Successful
int_misc.clear_resteer_cycles,Successful
int_misc.clears_count,Successful
int_misc.recovery_cycles,Successful
int_misc.unknown_branch_cycles,Successful
int_misc.uop_dropping,Successful
int_vec_retired.128bit,Successful
int_vec_retired.256bit,Successful
int_vec_retired.add_128,Successful
int_vec_retired.add_256,Successful
int_vec_retired.shuffles,Successful
ld_blocks.address_alias,Successful
ld_blocks.no_sr,Successful
ld_blocks.store_forward,Successful
load_hit_prefetch.swpf,Successful
machine_clears.count,Successful
misc2_retired.lfence,Successful
resource_stalls.sb,Successful
resource_stalls.scoreboard,Successful
topdown.backend_bound_slots,Successful
topdown.bad_spec_slots,Successful
topdown.br_mispredict_slots,Successful
topdown.memory_bound_slots,Successful
topdown.slots,Successful
topdown.slots_p,Successful
uops_decoded.dec0_uops,Successful
uops_dispatched.port_0,Successful
uops_dispatched.port_1,Successful
uops_dispatched.port_2_3_10,Successful
uops_dispatched.port_4_9,Successful
uops_dispatched.port_5_11,Successful
uops_dispatched.port_6,Successful
uops_dispatched.port_7_8,Successful
uops_executed.core,Successful
uops_executed.core_cycles_ge_1,Successful
uops_executed.core_cycles_ge_2,Successful
uops_executed.core_cycles_ge_3,Successful
uops_executed.core_cycles_ge_4,Successful
uops_executed.cycles_ge_1,Successful
uops_executed.cycles_ge_2,Successful
uops_executed.cycles_ge_3,Successful
uops_executed.cycles_ge_4,Successful
uops_executed.stall_cycles,Successful
uops_executed.stalls,Successful
uops_executed.thread,Successful
uops_retired.cycles,Successful
uops_retired.heavy,Successful
uops_retired.ms,Successful
uops_retired.slots,Successful
uops_retired.stall_cycles,Successful
uops_retired.stalls,Successful
unc_cha_bypass_cha_imc.intermediate,Successful
unc_cha_bypass_cha_imc.not_taken,Successful
unc_cha_bypass_cha_imc.taken,Successful
unc_cha_clockticks,Successful
unc_cha_cms_clockticks,Successful
unc_cha_core_snp.any_gtone,Successful
unc_cha_core_snp.any_one,Successful
unc_cha_core_snp.core_gtone,Successful
unc_cha_core_snp.core_one,Successful
