Metric Name,Status
tma_bottleneck_memory_synchronization,Failed
tma_contested_accesses,Failed
tma_data_sharing,Failed
tma_false_sharing,Failed
tma_bottleneck_memory_data_tlbs,Failed
tma_dtlb_load,Failed
tma_dtlb_store,Failed
tma_backend_bound,Failed
tma_bottleneck_other_bottlenecks,Failed
tma_bottleneck_useful_work,Failed
tma_retiring,Failed
tma_c01_wait,Failed
tma_c02_wait,Failed
tma_info_memory_mix_offcore_read_any_pki,Failed
tma_l1_bound,Failed
tma_l3_bound,Failed
tma_fp_scalar,Failed
tma_fp_vector,Failed
tma_fp_vector_128b,Failed
tma_fp_vector_256b,Failed
tma_fp_vector_512b,Failed
tma_int_vector_128b,Failed
tma_int_vector_256b,Failed
tma_x87_use,Failed
tma_info_botlnk_l0_core_bound_likely,Failed
tma_dsb,Failed
tma_info_botlnk_l2_dsb_bandwidth,Failed
tma_decoder0_alone,Failed
tma_dsb_switches,Failed
tma_info_botlnk_l2_dsb_misses,Failed
tma_info_frontend_ipdsb_miss_ret,Failed
tma_mite,Failed
tma_bad_speculation,Failed
tma_fetch_bandwidth,Failed
tma_fetch_latency,Failed
tma_heavy_operations,Failed
tma_light_operations,Failed
tma_info_botlnk_l2_ic_misses,Failed
tma_info_frontend_unknown_branch_cost,Failed
tma_branch_resteers,Failed
tma_code_l2_hit,Failed
tma_code_l2_miss,Failed
tma_code_stlb_hit,Failed
tma_code_stlb_miss,Failed
tma_code_stlb_miss_2m,Failed
tma_code_stlb_miss_4k,Failed
tma_lcp,Failed
tma_ms_switches,Failed
tma_avx_assists,Failed
tma_fp_arith,Failed
tma_fp_assists,Failed
tma_info_memory_soc_r2c_dram_bw,Failed
tma_info_memory_soc_r2c_l3m_bw,Failed
tma_info_memory_soc_r2c_offcore_bw,Failed
tma_info_system_dram_bw_use,Failed
tma_shuffles_256b,Failed
tma_info_frontend_l2mpki_code,Failed
tma_info_system_io_read_bw,Failed
tma_info_system_io_write_bw,Failed
tma_info_system_mem_irq_duplicate_address,Failed
tma_lock_latency,Failed
tma_info_system_mem_parallel_reads,Failed
tma_info_system_mem_read_latency,Failed
tma_info_system_mem_dram_read_latency,Failed
tma_mba_stalls,Failed
tma_streaming_stores,Failed
tma_dram_bound,Failed
tma_store_bound,Failed
tma_l2_hit_latency,Failed
tma_load_stlb_hit,Failed
tma_load_stlb_miss,Failed
