Metric Name,Status
tma_info_inst_mix_iparith_avx512,NaN value
tma_info_inst_mix_iparith_scalar_dp,NaN value
tma_info_inst_mix_iparith_scalar_hp,NaN value
tma_info_inst_mix_iparith_scalar_sp,NaN value
tma_info_inst_mix_ipflop,NaN value
tma_info_inst_mix_ippause,NaN value
tma_fp_arith,NaN value
tma_info_inst_mix_ipload,NaN value
tma_info_inst_mix_ipstore,NaN value
tma_info_memory_latency_load_l2_miss_latency,NaN value
tma_lock_latency,NaN value
tma_info_memory_load_miss_real_latency,NaN value
tma_info_memory_mlp,NaN value
tma_info_memory_tlb_page_walks_utilization,NaN value
tma_l2_hit_latency,NaN value
tma_load_stlb_miss_1g,NaN value
tma_load_stlb_miss_2m,NaN value
tma_load_stlb_miss_4k,NaN value
tma_store_stlb_hit,NaN value
tma_store_stlb_miss,NaN value
tma_store_stlb_miss_1g,NaN value
tma_store_stlb_miss_2m,NaN value
tma_store_stlb_miss_4k,NaN value
tma_info_memory_latency_data_l2_mlp,NaN value
tma_info_memory_latency_load_l2_mlp,NaN value
tma_info_memory_latency_load_l3_miss_latency,NaN value
tma_info_pipeline_ipassist,NaN value
tma_info_pipeline_strings_cycles,NaN value
tma_remote_cache,NaN value
tma_info_pipeline_retire,NaN value
tma_other_light_ops,NaN value
tma_info_inst_mix_ipswpf,NaN value
tma_info_memory_prefetches_useless_hwpf,NaN value
tma_info_core_coreipc,NaN value
tma_info_system_smt_2t_utilization,NaN value
tma_local_mem,NaN value
tma_remote_mem,NaN value
tma_split_loads,NaN value
tma_split_stores,NaN value
tma_alu_op_utilization,NaN value
tma_load_op_utilization,NaN value
tma_store_op_utilization,NaN value
tma_port_1,NaN value
tma_port_6,NaN value
percent_uops_delivered_from_decoded_icache,NaN value
percent_uops_delivered_from_legacy_decode_pipeline,NaN value
percent_uops_delivered_from_microcode_sequencer,NaN value
tma_bottleneck_irregular_overhead,Failed
tma_bottleneck_mispredictions,Failed
tma_info_bad_spec_branch_misprediction_cost,Failed
tma_clears_resteers,Failed
tma_mispredicts_resteers,Failed
tma_bottleneck_big_code,Failed
tma_unknown_branches,Failed
tma_bottleneck_instruction_fetch_bw,Failed
tma_assists,Failed
tma_bottleneck_cache_memory_bandwidth,Failed
tma_bottleneck_cache_memory_latency,Failed
tma_bottleneck_memory_synchronization,Failed
tma_contested_accesses,Failed
tma_data_sharing,Failed
tma_false_sharing,Failed
tma_bottleneck_memory_data_tlbs,Failed
tma_bottleneck_other_bottlenecks,Failed
tma_bottleneck_useful_work,Failed
tma_info_memory_mix_offcore_read_any_pki,Failed
tma_info_botlnk_l2_dsb_bandwidth,Failed
tma_info_botlnk_l2_dsb_misses,Failed
tma_info_frontend_ipdsb_miss_ret,Failed
tma_info_botlnk_l2_ic_misses,Failed
tma_info_frontend_unknown_branch_cost,Failed
tma_branch_resteers,Failed
tma_ms_switches,Failed
tma_info_memory_soc_r2c_dram_bw,Failed
tma_info_memory_soc_r2c_l3m_bw,Failed
tma_info_memory_soc_r2c_offcore_bw,Failed
tma_info_system_dram_bw_use,Failed
tma_info_frontend_l2mpki_code,Failed
tma_info_system_io_read_bw,Failed
tma_info_system_io_write_bw,Failed
tma_info_system_mem_irq_duplicate_address,Failed
tma_info_system_mem_parallel_reads,Failed
tma_info_system_mem_read_latency,Failed
tma_info_system_mem_dram_read_latency,Failed
tma_streaming_stores,Failed
tma_microcode_sequencer,Failed
tma_ms,Failed
tma_info_memory_mix_offcore_mwrite_any_pki,Failed
tma_info_memory_mix_offcore_read_l3m_pki,Failed
C1_Core_Residency,Failed
C2_Pkg_Residency,Failed
C6_Core_Residency,Failed
C6_Pkg_Residency,Failed
tma_info_system_power,Failed
tma_info_system_upi_data_transmit_bw,Failed
UNCORE_FREQ,Failed
tma_info_system_socket_clks,Failed
tma_info_system_uncore_frequency,Failed
tma_few_uops_instructions,Failed
tma_cisc,Failed
io_bandwidth_read,Failed
io_bandwidth_read_local,Failed
io_bandwidth_read_remote,Failed
io_bandwidth_write,Failed
io_bandwidth_write_local,Failed
io_bandwidth_write_remote,Failed
io_percent_of_inbound_full_writes_that_miss_l3,Failed
io_percent_of_inbound_partial_writes_that_miss_l3,Failed
io_percent_of_inbound_reads_that_miss_l3,Failed
llc_code_read_mpi_demand_plus_prefetch,Failed
llc_data_read_mpi_demand_plus_prefetch,Failed
llc_demand_data_read_miss_latency,Failed
llc_demand_data_read_miss_latency_for_local_requests,Failed
llc_demand_data_read_miss_latency_for_remote_requests,Failed
llc_demand_data_read_miss_to_dram_latency,Failed
memory_bandwidth_read,Failed
memory_bandwidth_total,Failed
memory_bandwidth_write,Failed
memory_extra_write_bw_due_to_directory_updates,Failed
numa_reads_addressed_to_local_dram,Failed
numa_reads_addressed_to_remote_dram,Failed
smi_cycles,Failed
uncore_frequency,Failed
upi_data_transmit_bw,Failed
