Event Name,Status
idq_bubbles.cycles_fe_was_ok,Zero value
idq_uops_not_delivered.core,Zero value
idq_uops_not_delivered.cycles_0_uops_deliv.core,Zero value
idq_uops_not_delivered.cycles_fe_was_ok,Zero value
cycle_activity.stalls_l3_miss,Zero value
machine_clears.memory_ordering,Zero value
mem_trans_retired.store_sample,Zero value
memory_activity.cycles_l1d_miss,Zero value
memory_activity.stalls_l1d_miss,Zero value
memory_activity.stalls_l2_miss,Zero value
memory_activity.stalls_l3_miss,Zero value
offcore_requests.l3_miss_demand_data_rd,Zero value
offcore_requests_outstanding.l3_miss_demand_data_rd,Zero value
rtm_retired.aborted,Zero value
rtm_retired.aborted_events,Zero value
rtm_retired.aborted_mem,Zero value
rtm_retired.aborted_memtype,Zero value
rtm_retired.aborted_unfriendly,Zero value
rtm_retired.commit,Zero value
rtm_retired.start,Zero value
tx_mem.abort_capacity_read,Zero value
tx_mem.abort_capacity_write,Zero value
tx_mem.abort_conflict,Zero value
assists.page_fault,Zero value
exe.amx_busy,Zero value
rs.empty,Zero value
rs.empty_count,Zero value
rs.empty_resource,Zero value
rs_empty.count,Zero value
rs_empty.cycles,Zero value
xq.full_cycles,Zero value
arith.div_active,Zero value
arith.divider_active,Zero value
arith.fp_divider_active,Zero value
arith.idiv_active,Zero value
arith.int_divider_active,Zero value
assists.any,Zero value
br_inst_retired.cond,Zero value
br_inst_retired.cond_ntaken,Zero value
br_inst_retired.cond_taken,Zero value
br_inst_retired.far_branch,Zero value
br_inst_retired.indirect,Zero value
br_inst_retired.near_call,Zero value
br_inst_retired.near_return,Zero value
br_inst_retired.near_taken,Zero value
br_misp_retired.cond,Zero value
br_misp_retired.cond_ntaken,Zero value
br_misp_retired.cond_taken,Zero value
br_misp_retired.indirect,Zero value
br_misp_retired.indirect_call,Zero value
br_misp_retired.near_taken,Zero value
br_misp_retired.ret,Zero value
cpu_clk_unhalted.c01,Zero value
cpu_clk_unhalted.c02,Zero value
cpu_clk_unhalted.c0_wait,Zero value
cpu_clk_unhalted.distributed,Zero value
cpu_clk_unhalted.one_thread_active,Zero value
cpu_clk_unhalted.pause,Zero value
cpu_clk_unhalted.pause_inst,Zero value
cpu_clk_unhalted.ref_distributed,Zero value
cycle_activity.cycles_l1d_miss,Zero value
cycle_activity.cycles_l2_miss,Zero value
cycle_activity.cycles_mem_any,Zero value
cycle_activity.stalls_l1d_miss,Zero value
cycle_activity.stalls_l2_miss,Zero value
cycle_activity.stalls_total,Zero value
exe_activity.1_ports_util,Zero value
exe_activity.2_3_ports_util,Zero value
exe_activity.2_ports_util,Zero value
exe_activity.3_ports_util,Zero value
exe_activity.4_ports_util,Zero value
exe_activity.bound_on_loads,Zero value
exe_activity.bound_on_stores,Zero value
exe_activity.exe_bound_0_ports,Zero value
inst_decoded.decoders,Zero value
inst_retired.macro_fused,Zero value
inst_retired.nop,Zero value
inst_retired.rep_iteration,Zero value
int_misc.clear_resteer_cycles,Zero value
int_misc.clears_count,Zero value
int_misc.mba_stalls,Zero value
int_misc.recovery_cycles,Zero value
int_misc.uop_dropping,Zero value
int_vec_retired.128bit,Zero value
int_vec_retired.256bit,Zero value
int_vec_retired.add_128,Zero value
int_vec_retired.add_256,Zero value
int_vec_retired.mul_256,Zero value
int_vec_retired.shuffles,Zero value
int_vec_retired.vnni_128,Zero value
int_vec_retired.vnni_256,Zero value
ld_blocks.address_alias,Zero value
ld_blocks.no_sr,Zero value
ld_blocks.store_forward,Zero value
load_hit_prefetch.swpf,Zero value
lsd.cycles_active,Zero value
lsd.cycles_ok,Zero value
lsd.uops,Zero value
machine_clears.count,Zero value
machine_clears.smc,Zero value
misc2_retired.lfence,Zero value
misc_retired.lbr_inserts,Zero value
resource_stalls.sb,Zero value
resource_stalls.scoreboard,Zero value
topdown.backend_bound_slots,Zero value
topdown.bad_spec_slots,Zero value
topdown.br_mispredict_slots,Zero value
topdown.memory_bound_slots,Zero value
uops_decoded.dec0_uops,Zero value
uops_dispatched.port_0,Zero value
uops_dispatched.port_1,Zero value
uops_dispatched.port_2_3_10,Zero value
uops_dispatched.port_4_9,Zero value
uops_dispatched.port_5_11,Zero value
uops_dispatched.port_6,Zero value
uops_dispatched.port_7_8,Zero value
uops_executed.core,Zero value
uops_executed.core_cycles_ge_1,Zero value
uops_executed.core_cycles_ge_2,Zero value
uops_executed.core_cycles_ge_3,Zero value
uops_executed.core_cycles_ge_4,Zero value
uops_executed.cycles_ge_1,Zero value
uops_executed.cycles_ge_2,Zero value
uops_executed.cycles_ge_3,Zero value
uops_executed.cycles_ge_4,Zero value
uops_executed.stall_cycles,Zero value
uops_executed.stalls,Zero value
uops_executed.thread,Zero value
uops_executed.x87,Zero value
